time/iterations,rollout/ep_len_mean,train/n_updates,train/entropy_loss,time/total_timesteps,train/learning_rate,time/time_elapsed,train/value_loss,time/fps,rollout/ep_rew_mean,train/explained_variance,train/policy_loss
100,19.24,99,-0.09753714501857758,4000,0.000797132,53,6.140074729919434,74,12.958547150000001,0.7376880645751953,0.4197331368923187
200,21.12,199,-0.05666765570640564,8000,0.000763932,107,4.673283576965332,74,14.276836679999999,0.9001867771148682,0.007724289782345295
300,21.49,299,-0.1979931741952896,12000,0.000730732,160,14.533241271972656,74,14.563619049999998,0.6656937003135681,0.9969150424003601
400,21.24,399,-0.06902782618999481,16000,0.0006975320000000001,213,5.311868190765381,74,14.397537449999998,0.8585359454154968,-0.016241390258073807
500,21.26,499,-0.05152451992034912,20000,0.000664332,266,9.78668212890625,74,14.404737950000001,0.8643027544021606,-0.019592544063925743
600,22.73,599,-0.09396610409021378,24000,0.000631132,320,4.657182216644287,74,15.288724710000002,0.9411484599113464,-0.04284534603357315
700,23.12,699,-0.043907344341278076,28000,0.0005979319999999999,373,9.387616157531738,75,15.73297756,0.8850773572921753,0.4988378882408142
800,20.68,799,-0.028828000649809837,32000,0.000564732,426,9.949407577514648,75,13.873282020000003,0.8013620376586914,-0.010638823732733727
900,21.49,899,-0.04764840006828308,36000,0.000531532,479,12.364021301269531,75,14.5091765,0.893925130367279,0.8120638728141785
1000,22.65,999,-0.0604422464966774,40000,0.0004983320000000001,533,11.503111839294434,75,15.13941455,0.792720377445221,0.5925191044807434
1100,22.9,1099,-0.13545812666416168,44000,0.000465132,586,10.42253303527832,75,15.484004870000001,0.8264509439468384,-0.20570926368236542
1200,23.75,1199,-0.01896565593779087,48000,0.000431932,639,9.752265930175781,75,15.893178049999996,0.9249051213264465,0.043072350323200226
1300,23.61,1299,-0.04367532581090927,52000,0.00039873200000000006,692,21.868202209472656,75,15.840039929999998,0.7606168985366821,0.10099785029888153
1400,26.47,1399,-0.11576495319604874,56000,0.000365532,745,8.07583999633789,75,17.81903404,0.9070655703544617,0.07235334813594818
1500,25.82,1499,-0.016139643266797066,60000,0.00033233199999999996,798,12.623926162719727,75,17.429298,0.8933431506156921,-0.0011821662774309516
1600,27.04,1599,-0.06658034026622772,64000,0.000299132,851,4.38320779800415,75,18.181890490000004,0.9616289138793945,0.32625168561935425
1700,25.31,1699,-0.033825475722551346,68000,0.00026593200000000003,904,17.0556697845459,75,16.891552250000004,0.8283021450042725,0.03030509687960148
1800,23.76,1799,-0.07911336421966553,72000,0.00023273199999999998,958,22.167394638061523,75,15.94701255,0.766999363899231,0.10182348638772964
1900,26.77,1899,-0.02789626456797123,76000,0.00019953199999999996,1011,7.08056640625,75,18.118268970000003,0.840286135673523,0.0845940113067627
2000,26.84,1999,-0.09218448400497437,80000,0.00016633200000000002,1064,8.067106246948242,75,18.220018609999997,0.9271061420440674,-0.06337523460388184
2100,26.24,2099,-0.058296747505664825,84000,0.000133132,1117,7.653452396392822,75,17.7706342,0.9395892024040222,-0.11648943275213242
2200,25.6,2199,-0.05631731078028679,88000,9.993199999999996e-05,1170,7.887839317321777,75,17.273980129999998,0.8908374309539795,0.13863201439380646
2300,24.54,2299,-0.034308694303035736,92000,6.673200000000002e-05,1224,12.018514633178711,75,16.4092492,0.8954489231109619,-0.11266162246465683
2400,27.54,2399,-0.021173536777496338,96000,3.353199999999999e-05,1277,11.199380874633789,75,18.604903429999997,0.845127522945404,-0.01253180019557476
2500,26.65,2499,-0.04911225289106369,100000,3.3199999999996343e-07,1331,24.162439346313477,75,17.96515896,0.4834597706794739,0.08537349104881287
