time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates,train/loss,train/approx_kl
1,8.45,171,95,6.1778508599999995,16384,,,,,,,,,,
2,7.91,348,94,5.46462446,32768,0.27001953125,0.2,-0.025195509108471015,-1.5954321563476697,0.0003,12.382189952302724,-0.0011873245239257812,4,5.950649261474609,0.015553897
3,10.42,526,93,7.2865424800000005,49152,0.2538909912109375,0.2,-0.02455280446292818,-1.5579437915002927,0.0003,19.4229374518618,0.08562380075454712,8,9.556073188781738,0.014071516
4,12.51,703,93,8.79093372,65536,0.2064056396484375,0.2,-0.02147820380741905,-1.5053684648592025,0.0003,31.60153817757964,0.10430347919464111,12,16.110980987548828,0.012861363
5,16.62,879,93,11.405033040000001,81920,0.192779541015625,0.2,-0.02026548153071417,-1.4418612951412797,0.0003,40.33593468554318,0.12960374355316162,16,18.371219635009766,0.014222676
6,21.55,1055,93,14.845033589999998,98304,0.1127471923828125,0.2,-0.0130599043300208,-1.3615650804713368,0.0003,61.00100443698466,0.1416444182395935,20,35.220664978027344,0.011646844
7,21.28,1231,93,14.61110304,114688,0.1235504150390625,0.2,-0.013040840550729627,-1.2609746142989025,0.0003,73.29853126779199,0.17585152387619019,24,33.68579864501953,0.012578128
