rollout/ep_rew_mean,time/total_timesteps,rollout/exploration_rate,time/time_elapsed,time/fps,time/episodes,rollout/ep_len_mean
3.8613910000000002,21,0.9979209999999996,1,10,4,5.25
3.7549618750000002,44,0.9956440000000001,4,10,8,5.5
3.4669224166666663,61,0.993961,5,10,12,5.083333333333333
3.3304240624999997,78,0.992278,7,10,16,4.875
3.0125312,89,0.9911890000000005,8,10,20,4.45
3.014488416666667,108,0.9893080000000003,10,10,24,4.5
3.0470711428571433,126,0.9875259999999996,11,10,28,4.5
3.1879278749999997,149,0.985249,13,10,32,4.65625
3.5570861944444436,185,0.9816849999999998,17,10,36,5.138888888888889
3.6234541500000006,212,0.9790119999999999,19,10,40,5.3
3.5200163863636367,227,0.977527,20,10,44,5.159090909090909
3.6397115,254,0.9748540000000001,23,10,48,5.291666666666667
3.5450617115384615,269,0.9733690000000003,24,10,52,5.173076923076923
3.514797910714286,288,0.971488,26,10,56,5.142857142857143
3.5446800833333336,312,0.9691119999999999,28,10,60,5.2
3.4182528906250003,323,0.9680230000000004,29,10,64,5.046875
3.4684900147058824,348,0.9655479999999996,32,10,68,5.117647058823529
3.380178097222222,361,0.964261,33,10,72,5.013888888888889
3.2682790526315793,371,0.9632710000000001,34,10,76,4.881578947368421
3.2819636,391,0.9612910000000003,36,10,80,4.8875
3.234698047619048,406,0.9598060000000005,37,10,84,4.833333333333333
3.1527405,417,0.9587169999999999,38,10,88,4.738636363636363
3.1873303478260877,439,0.9565389999999999,40,10,92,4.771739130434782
3.3195741458333337,473,0.9531729999999998,43,10,96,4.927083333333333
3.30062394,492,0.9512919999999997,45,10,100,4.92
3.27546798,512,0.9493119999999998,47,10,104,4.91
3.3022419599999995,536,0.9469359999999997,49,10,108,4.92
3.3125371199999996,556,0.9449559999999999,51,10,112,4.95
3.38879355,586,0.9419860000000002,54,10,116,5.08
3.4703086400000003,608,0.9398080000000002,56,10,120,5.19
3.45649585,625,0.9381250000000002,57,10,124,5.17
3.4734615899999994,645,0.9361450000000004,59,10,128,5.19
