train/policy_loss,time/fps,train/n_updates,train/explained_variance,rollout/ep_len_mean,train/learning_rate,train/value_loss,train/entropy_loss,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps
2.5772898197174072,2,99,-0.0070716142654418945,8.26,0.0007,4.540055274963379,-1.6094101667404175,3444,5.779264919999999,100,8000
1.881736397743225,4,199,-0.07560408115386963,7.22,0.0007,5.290353298187256,-1.6087932586669922,3530,5.154252180000001,200,16000
0.9731769561767578,6,299,-0.0071485042572021484,9.19,0.0007,7.7338104248046875,-1.5869126319885254,3616,6.624158749999999,300,24000
-1.609256386756897,8,399,0.03735458850860596,18.86,0.0007,26.104101181030273,-1.2082509994506836,3702,13.357177260000004,400,32000
0.45454588532447815,10,499,-1.2542624473571777,32.91,0.0007,3.881274461746216,-0.17790274322032928,3788,22.93459344,500,40000
0.0697898268699646,12,599,-0.0834052562713623,31.64,0.0007,145.2379913330078,-0.06859507411718369,3873,21.95711648000001,600,48000
0.17450658977031708,14,699,-0.004076480865478516,30.46,0.0007,120.17986297607422,-0.11102719604969025,3959,21.038379900000006,700,56000
-0.00952177681028843,15,799,-0.04733550548553467,33.3,0.0007,128.44534301757812,-0.044615160673856735,4044,23.09751014,800,64000
0.41602301597595215,17,899,0.08697295188903809,30.35,0.0007,33.30862808227539,-0.34824469685554504,4130,20.95278974,900,72000
0.004556807689368725,18,999,0.7271240949630737,33.18,0.0007,1.0568726062774658,-0.1858152598142624,4215,22.948670670000006,1000,80000
0.03637867420911789,20,1099,0.9393601417541504,35.69,0.0007,0.1962108016014099,-0.03330753371119499,4300,24.74072084000001,1100,88000
-0.6259641051292419,21,1199,0.13871252536773682,21.53,0.0007,60.20455551147461,-0.6180476546287537,4386,15.1937068,1200,96000
