time/iterations,rollout/ep_len_mean,train/n_updates,train/entropy_loss,time/total_timesteps,train/learning_rate,time/time_elapsed,train/value_loss,time/fps,rollout/ep_rew_mean,train/explained_variance,train/policy_loss
100,5.63,99,-1.6093868017196655,8000,0.0007,7680,2.6799156665802,1,3.7631629399999995,-0.0808495283126831,1.4802433252334595
200,5.55,199,-1.6084978580474854,16000,0.0007,15298,5.060801982879639,1,3.8177304600000004,-0.03779339790344238,1.7142966985702515
300,6.75,299,-1.5835281610488892,24000,0.0007,22803,5.721180438995361,1,4.551542680000001,-0.013895273208618164,1.0208375453948975
400,10.88,399,-1.3216018676757812,32000,0.0007,29826,10.074563980102539,1,7.34059234,-0.026954293251037598,-0.23170101642608643
500,19.03,499,-0.6360841989517212,40000,0.0007,34945,8.897765159606934,1,12.94676521,-0.01728522777557373,0.6193176507949829
600,21.94,599,-0.31888914108276367,48000,0.0007,39233,26.90273666381836,1,14.813051830000001,-0.004764437675476074,-0.6077846884727478
700,20.56,699,-0.12084859609603882,56000,0.0007,43553,22.324209213256836,1,13.82983253,-0.0003135204315185547,0.0831901878118515
800,20.87,799,-0.06115962937474251,64000,0.0007,47841,34.37089157104492,1,14.16268713,-0.00603938102722168,0.1651279628276825
900,21.23,899,-0.4184899926185608,72000,0.0007,52240,18.08330535888672,1,14.385586420000003,0.09445172548294067,0.3140128552913666
1000,19.49,999,-0.30153340101242065,80000,0.0007,56623,9.542196273803711,1,13.263363809999998,-0.03510737419128418,0.5801665782928467
1100,21.78,1099,-0.14510321617126465,88000,0.0007,60943,8.464615821838379,1,14.799317330000001,0.044199228286743164,0.10277307033538818
1200,19.8,1199,-0.16094091534614563,96000,0.0007,65742,51.56304931640625,1,13.387990729999999,-0.03691446781158447,0.07241997122764587
