rollout/ep_len_mean,train/n_updates,train/loss,time/total_timesteps,rollout/exploration_rate,train/learning_rate,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/episodes
6.5,24,0.03680151514708996,26,0.9980499999999997,0.00063,2,10,4.93357375,4
5.75,44,0.03392665134742856,46,0.9965499999999998,0.00063,4,10,4.071419625,8
5.583333333333333,64,0.010716255637817085,67,0.9949750000000004,0.00063,6,10,3.9108910833333326,12
6.0,92,0.005415721796452999,96,0.9928000000000002,0.00063,9,10,4.228917625,16
5.55,108,0.0055378490360453725,111,0.9916749999999995,0.00063,10,10,3.904055050000001,20
5.333333333333333,124,0.005480032763443887,128,0.9904000000000004,0.00063,12,10,3.698533916666667,24
5.928571428571429,164,0.0020293225825298578,166,0.98755,0.00063,16,10,4.14208175,28
5.875,184,0.0030471953214146197,188,0.9859,0.00063,18,10,4.11029109375,32
6.25,224,0.005246424349024892,225,0.9831250000000002,0.00063,21,10,4.344620138888889,36
6.175,244,0.003457565966527909,247,0.9814750000000002,0.00063,23,10,4.28527665,40
6.0227272727272725,264,0.044756568036973476,265,0.9801249999999997,0.00063,25,10,4.172305340909092,44
6.145833333333333,292,0.017970845801755786,295,0.9778749999999999,0.00063,28,10,4.257267020833333,48
6.019230769230769,312,0.019009411334991455,313,0.9765250000000002,0.00063,30,10,4.130762576923077,52
6.017857142857143,336,0.01442347140982747,337,0.9747250000000001,0.00063,32,10,4.141683035714285,56
6.133333333333334,364,0.00631925230845809,368,0.9723999999999998,0.00063,35,10,4.20931005,60
6.125,388,0.005143640446476638,392,0.9705999999999997,0.00063,37,10,4.190934374999999,64
6.088235294117647,412,0.006137319840490818,414,0.9689499999999998,0.00063,39,10,4.164198588235293,68
5.930555555555555,424,0.007159592700190842,427,0.967975,0.00063,41,10,4.036559263888889,72
6.052631578947368,456,0.004061892512254417,460,0.9654999999999996,0.00063,44,10,4.134771605263158,76
6.1,484,0.004798837209818885,488,0.9634,0.00063,47,10,4.178285075,80
6.273809523809524,524,0.038564909249544144,527,0.960475,0.00063,50,10,4.310960238095237,84
6.1477272727272725,540,0.01920196507126093,541,0.9594249999999998,0.00063,52,10,4.209754363636364,88
6.130434782608695,560,0.02022209344431758,564,0.9577000000000002,0.00063,54,10,4.215963847826088,92
6.197916666666667,592,0.013009228277951479,595,0.9553749999999999,0.00063,57,10,4.250435302083333,96
6.1,608,0.009183114627376199,610,0.95425,0.00063,58,10,4.167720509999999,100
6.11,636,0.009259636630304158,637,0.9522250000000001,0.00063,61,10,4.14943395,104
6.04,648,0.011212510871700943,650,0.9512500000000004,0.00063,62,10,4.097893639999999,108
6.07,672,0.008042626199312508,674,0.9494500000000002,0.00063,65,10,4.11824238,112
5.97,692,0.012778544332832098,693,0.9480250000000001,0.00063,67,10,4.041297020000001,116
5.97,704,0.007354986155405641,708,0.9469000000000002,0.00063,68,10,4.03464816,120
6.02,728,0.007682838593609631,730,0.9452500000000001,0.00063,70,10,4.09090372,124
5.93,756,0.12208501063287258,759,0.9430750000000001,0.00063,73,10,4.02497537,128
5.83,768,0.054290651343762875,771,0.942175,0.00063,74,10,3.9340934599999993,132
5.66,788,0.035504733212292194,791,0.9406750000000001,0.00063,76,10,3.8259112300000004,136
6.1,856,0.00812191003933549,857,0.9357250000000003,0.00063,82,10,4.13891223,140
6.09,872,0.012534893350675702,874,0.9344500000000002,0.00063,84,10,4.12454227,144
6.01,892,0.009709985344670713,896,0.9328000000000002,0.00063,86,10,4.06389118,148
6.06,916,0.011241039144806564,919,0.9310749999999998,0.00063,88,10,4.146369,152
6.06,940,0.013503526337444782,943,0.9292749999999996,0.00063,91,10,4.141301469999999,156
6.04,968,0.020627185236662626,972,0.9271000000000004,0.00063,94,10,4.13486053,160
5.92,980,0.018490107730031013,984,0.9262000000000002,0.00063,95,10,4.043185449999999,164
5.95,1008,0.09827150404453278,1009,0.9243249999999996,0.00063,97,10,4.08083085,168
5.96,1020,0.056800744496285915,1023,0.9232750000000003,0.00063,99,10,4.09220239,172
5.88,1044,0.04059747699648142,1048,0.9213999999999997,0.00063,101,10,4.037364350000001,176
5.84,1068,0.03598334081470966,1072,0.9196000000000004,0.00063,103,10,3.98529607,180
5.62,1088,0.026222700718790293,1089,0.9183250000000003,0.00063,105,10,3.81728501,184
5.75,1112,0.046093741431832314,1116,0.9163000000000003,0.00063,108,10,3.94518373,188
5.66,1128,0.038885039277374744,1130,0.9152500000000001,0.00063,109,10,3.85351678,192
5.7,1164,0.02616882580332458,1165,0.9126249999999996,0.00063,112,10,3.91058201,196
5.68,1176,0.025128803914412856,1178,0.9116499999999998,0.00063,114,10,3.9043275500000005,200
5.63,1196,0.04008431453257799,1200,0.9099999999999999,0.00063,116,10,3.8717216500000005,204
5.75,1224,0.02251569600775838,1225,0.9081250000000001,0.00063,118,10,3.9696889800000004,208
5.76,1248,0.022222473518922925,1250,0.9062500000000003,0.00063,121,10,3.9776776000000007,212
5.82,1272,0.12493602558970451,1275,0.9043749999999997,0.00063,123,10,4.03749058,216
5.89,1296,0.07149799354374409,1297,0.9027249999999997,0.00063,125,10,4.08950176,220
5.85,1312,0.06700906017795205,1315,0.901375,0.00063,127,10,4.04823588,224
5.9,1348,0.07142928708344698,1349,0.898825,0.00063,130,10,4.086268219999999,228
6.03,1372,0.046619487926363945,1374,0.8969500000000001,0.00063,133,10,4.184302989999999,232
6.09,1396,0.047252480406314135,1400,0.8949999999999999,0.00063,135,10,4.20679962,236
5.59,1412,0.040897881612181664,1416,0.8938000000000004,0.00063,137,10,3.8345925199999997,240
5.61,1432,0.03784078452736139,1435,0.8923750000000001,0.00063,139,10,3.8474059799999996,244
5.58,1452,0.04736765939742327,1454,0.89095,0.00063,140,10,3.82904533,248
5.6,1476,0.03155879816040397,1479,0.8890750000000002,0.00063,143,10,3.8093708,252
5.55,1496,0.05408847937360406,1498,0.88765,0.00063,145,10,3.768333619999999,256
5.5,1520,0.13270027376711369,1522,0.8858499999999999,0.00063,147,10,3.7393824599999994,260
5.63,1544,0.08438467234373093,1547,0.8839750000000001,0.00063,149,10,3.8297429700000003,264
