time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates,train/loss,train/approx_kl
1,6.3,176,92,4.41658244,16384,,,,,,,,,,
2,8.99,351,93,6.313616029999999,32768,0.245574951171875,0.2,-0.03227770140620123,-1.595674749929458,0.0003,7.972766851307824,-0.00864708423614502,4,2.587392807006836,0.016900029
3,12.11,526,93,8.559884319999998,49152,0.2775421142578125,0.2,-0.034987225684290024,-1.5493360806722194,0.0003,14.506456452887505,0.19402652978897095,8,8.650940895080566,0.016377022
4,13.69,698,93,9.757365920000002,65536,0.2464752197265625,0.2,-0.03086067761068989,-1.4831721798982471,0.0003,24.279196691699326,0.21348631381988525,12,11.145995140075684,0.015471933
5,17.46,871,93,12.276360340000002,81920,0.1753997802734375,0.2,-0.02355674479008485,-1.4153784847585484,0.0003,38.895878532901406,0.20372867584228516,16,21.614526748657227,0.012494985
6,22.2,1043,94,15.60643015,98304,0.145172119140625,0.2,-0.019159296316956897,-1.3376255218172446,0.0003,54.52584250457585,0.20828431844711304,20,26.22469711303711,0.0119626215
7,25.13,1215,94,17.745367549999997,114688,0.0857391357421875,0.2,-0.012058540683483443,-1.261630960390903,0.0003,73.24086456000805,0.19428002834320068,24,23.656692504882812,0.009216486
