rollout/ep_len_mean,train/n_updates,train/loss,time/total_timesteps,rollout/exploration_rate,train/learning_rate,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/episodes
4.75,16,0.08221489563584328,19,0.9985749999999998,0.00063,1,10,3.0996755,4
6.5,48,0.03983559459447861,52,0.9961000000000002,0.00063,4,10,4.273077625,8
5.583333333333333,64,0.045539651066064835,67,0.9949750000000004,0.00063,6,10,3.5917255000000003,12
5.8125,92,0.0453129643574357,93,0.993025,0.00063,8,10,3.814461875,16
5.55,108,0.048240809701383114,111,0.9916749999999995,0.00063,10,10,3.702447200000001,20
5.666666666666667,132,0.04361554700881243,136,0.9897999999999998,0.00063,12,10,3.7795205833333334,24
5.428571428571429,148,0.04690705984830856,152,0.9886000000000003,0.00063,14,10,3.5996861071428574,28
5.75,180,0.04442402720451355,184,0.9862000000000003,0.00063,17,10,3.88969846875,32
6.083333333333333,216,0.03210711106657982,219,0.9835749999999999,0.00063,20,10,4.09281586111111,36
5.85,232,0.036912511102855206,234,0.9824499999999999,0.00063,21,10,3.9346376249999997,40
5.636363636363637,244,0.03747377824038267,248,0.9813999999999997,0.00063,23,10,3.7752504090909085,44
5.854166666666667,280,0.14074490033090115,281,0.9789250000000002,0.00063,26,10,3.972259645833333,48
5.769230769230769,296,0.11427870579063892,300,0.9775,0.00063,28,10,3.8892800384615387,52
5.875,328,0.12899864837527275,329,0.9753249999999999,0.00063,30,10,3.9518230535714283,56
5.733333333333333,340,0.11103367619216442,344,0.9742,0.00063,32,10,3.853861383333333,60
5.6875,360,0.11442084982991219,364,0.9727000000000001,0.00063,33,10,3.8153250625,64
5.75,388,0.10020252875983715,391,0.9706750000000002,0.00063,36,10,3.8593539558823524,68
5.638888888888889,404,0.11208354867994785,406,0.9695500000000004,0.00063,38,10,3.772897069444445,72
5.631578947368421,424,0.09525366872549057,428,0.9679000000000004,0.00063,40,10,3.768725907894737,76
5.65,448,0.09023292176425457,452,0.9661000000000002,0.00063,42,10,3.78555645,80
5.619047619047619,468,0.11134573444724083,472,0.9646000000000003,0.00063,44,10,3.76291369047619,84
5.556818181818182,488,0.11730822175741196,489,0.9633250000000003,0.00063,46,10,3.719447227272727,88
5.532608695652174,508,0.21452565863728523,509,0.9618249999999997,0.00063,47,10,3.700137304347826,92
5.583333333333333,532,0.2059461772441864,536,0.9597999999999998,0.00063,50,10,3.73068121875,96
5.49,548,0.15925805643200874,549,0.958825,0.00063,51,10,3.66418629,100
5.64,580,0.18522858433425426,583,0.956275,0.00063,54,10,3.76547521,104
5.47,596,0.1854821890592575,599,0.9550749999999997,0.00063,56,10,3.63707172,108
5.54,620,0.18781188502907753,621,0.9534249999999996,0.00063,58,10,3.6903690500000006,112
5.48,640,0.1841883361339569,641,0.9519249999999998,0.00063,60,10,3.6458973299999995,116
5.52,660,0.1726808249950409,663,0.9502749999999998,0.00063,62,10,3.6646341399999995,120
5.49,684,0.1876872442662716,685,0.9486249999999998,0.00063,64,10,3.64732907,124
5.65,716,0.1748337745666504,717,0.9462249999999999,0.00063,67,10,3.788790560000001,128
5.49,732,0.1638994738459587,733,0.9450250000000004,0.00063,68,10,3.66429318,132
5.37,752,0.4068896770477295,756,0.9432999999999999,0.00063,71,10,3.5857213900000007,136
5.4,772,0.2529277764260769,774,0.9419500000000003,0.00063,72,10,3.59457561,140
5.47,792,0.2725827768445015,795,0.940375,0.00063,74,10,3.6408304999999994,144
5.39,816,0.2553832605481148,820,0.9385000000000001,0.00063,77,10,3.5765002699999995,148
5.52,848,0.2504143938422203,852,0.9361000000000002,0.00063,80,10,3.6677434599999996,152
5.5,876,0.23223764076828957,879,0.9340750000000002,0.00063,82,10,3.6759825299999993,156
5.56,896,0.24098661914467812,900,0.9324999999999999,0.00063,84,10,3.727152899999999,160
5.43,904,0.20455670356750488,907,0.9319749999999998,0.00063,85,10,3.6295265099999994,164
5.36,924,0.2527797780930996,927,0.9304749999999999,0.00063,87,10,3.5879433200000004,168
5.36,940,0.2830326333642006,942,0.9293500000000001,0.00063,88,10,3.58762972,172
5.25,952,0.255176093429327,953,0.9285249999999997,0.00063,89,10,3.50652706,176
5.2,968,0.24601363763213158,972,0.9271000000000004,0.00063,91,10,3.4551503599999993,180
5.19,988,0.21980149298906326,991,0.9256750000000002,0.00063,93,10,3.44291726,184
5.34,1020,0.3700706735253334,1023,0.9232750000000003,0.00063,96,10,3.5650743800000004,188
5.21,1028,0.32285041362047195,1030,0.9227500000000002,0.00063,96,10,3.4646965100000005,192
5.18,1052,0.3375273123383522,1054,0.92095,0.00063,99,10,3.45153278,196
5.31,1076,0.33743348717689514,1080,0.9189999999999998,0.00063,101,10,3.5316745899999997,200
5.09,1088,0.2945035919547081,1092,0.9180999999999997,0.00063,102,10,3.37750988,204
5.08,1104,0.37126461416482925,1107,0.9169749999999999,0.00063,104,10,3.3793773700000003,208
5.12,1132,0.371109776198864,1133,0.9150250000000004,0.00063,106,10,3.42294137,212
5.1,1148,0.32154038548469543,1151,0.9136749999999998,0.00063,108,10,3.40386884,216
5.04,1164,0.3616599813103676,1167,0.9124750000000004,0.00063,109,10,3.3567777199999993,220
5.08,1192,0.32089830189943314,1193,0.910525,0.00063,112,10,3.3834350500000006,224
5.06,1220,0.3268919177353382,1223,0.9082750000000003,0.00063,114,10,3.3502308400000005,228
5.1,1240,0.302217535674572,1243,0.9067749999999996,0.00063,116,10,3.3901974999999998,232
