time/iterations,rollout/ep_len_mean,train/n_updates,train/entropy_loss,time/total_timesteps,train/learning_rate,time/time_elapsed,train/value_loss,time/fps,rollout/ep_rew_mean,train/explained_variance,train/policy_loss
100,20.78,99,-0.27872234582901,4000,0.000797132,47,11.20513916015625,84,14.127254050000001,0.6432523727416992,-0.20944003760814667
200,20.44,199,-0.10462512075901031,8000,0.000763932,94,6.349900245666504,84,13.746301169999999,0.43912816047668457,0.1652647703886032
300,23.02,299,-0.09121854603290558,12000,0.000730732,141,8.256715774536133,84,15.686814390000002,0.8957691192626953,0.02222537435591221
400,23.82,399,-0.04612041637301445,16000,0.0006975320000000001,189,12.67131519317627,84,16.248427599999996,0.8223057389259338,-0.007611378096044064
500,21.98,499,-0.022648759186267853,20000,0.000664332,236,5.242608070373535,84,14.920554490000002,0.9168106913566589,0.003570742439478636
600,24.13,599,-0.016501162201166153,24000,0.000631132,283,14.486160278320312,84,16.512200359999998,0.8300237059593201,0.0023586677853018045
700,23.79,699,-0.011303270235657692,28000,0.0005979319999999999,330,21.13271713256836,84,16.307685749999997,0.5179104804992676,-0.0015334065537899733
800,23.3,799,-0.009492650628089905,32000,0.000564732,377,11.528791427612305,84,15.861072369999999,0.9056752920150757,-0.0014686118811368942
900,23.05,899,-0.00886495877057314,36000,0.000531532,425,20.339452743530273,84,15.632624289999999,0.7788859605789185,0.00021860981360077858
1000,22.75,999,-0.008592801168560982,40000,0.0004983320000000001,472,6.230833530426025,84,15.537938200000001,0.9532907009124756,0.0016626125434413552
1100,21.97,1099,-0.0107946265488863,44000,0.000465132,520,12.39045524597168,84,14.911048860000001,0.8843963742256165,0.0005254440475255251
1200,21.31,1199,-0.007714314851909876,48000,0.000431932,567,19.2586612701416,84,14.43992563,0.5871692299842834,-0.0018526942003518343
1300,20.49,1299,-0.005791381932795048,52000,0.00039873200000000006,614,6.884788513183594,84,13.826379089999998,0.9128006100654602,0.00044710971997119486
1400,22.94,1399,-0.00531610194593668,56000,0.000365532,661,11.936532020568848,84,15.559095609999996,0.8436518907546997,-0.00021551581448875368
1500,23.0,1499,-0.008495856076478958,60000,0.00033233199999999996,708,1.7364975214004517,84,15.622415829999998,0.9874711036682129,1.3810989912599325e-05
1600,22.79,1599,-0.00865966733545065,64000,0.000299132,755,38.871849060058594,84,15.34859997,0.6034479141235352,-0.0019724650774151087
1700,21.32,1699,-0.006181494798511267,68000,0.00026593200000000003,802,5.62031364440918,84,14.419271119999998,0.930202841758728,-0.0002026029396802187
1800,20.62,1799,-0.005014974158257246,72000,0.00023273199999999998,849,19.97317123413086,84,14.046653239999996,0.7351394891738892,-3.9702014923095703
1900,20.99,1899,-0.003811800153926015,76000,0.00019953199999999996,897,5.932892322540283,84,14.26685175,0.9446884989738464,0.0003375729429535568
2000,21.61,1999,-0.003910282626748085,80000,0.00016633200000000002,944,7.802706241607666,84,14.581711900000002,0.906841516494751,0.00011207415082026273
2100,23.93,2099,-0.003704390022903681,84000,0.000133132,992,5.07314395904541,84,16.2626355,0.947486162185669,0.0001714260142762214
2200,23.69,2199,-0.0037582169752568007,88000,9.993199999999996e-05,1039,11.152724266052246,84,16.0797457,0.6754353046417236,5.25192117493134e-05
2300,21.86,2299,-0.0037610933650285006,92000,6.673200000000002e-05,1086,29.015819549560547,84,14.67709464,-0.3729069232940674,-0.0004945911350660026
2400,25.55,2399,-0.003870480926707387,96000,3.353199999999999e-05,1134,4.43936824798584,84,17.459718700000003,0.9452402591705322,0.0001413587451679632
2500,22.84,2499,-0.003691233228892088,100000,3.3199999999996343e-07,1181,8.996685028076172,84,15.429105069999999,0.8909314274787903,0.000257311126915738
