rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/episodes
0.9972280000000006,7.0,2,12,5.02679,28,4
0.9951490000000001,6.125,3,12,4.16692275,49,8
0.9933670000000006,5.583333333333333,5,12,3.7934375,67,12
0.9911890000000005,5.5625,7,12,3.890617375,89,16
0.9883180000000004,5.9,9,12,4.102502,118,20
0.986239,5.791666666666667,11,12,3.9854601666666674,139,24
0.9784180000000005,7.785714285714286,17,12,5.485831571428572,218,28
0.9765370000000002,7.40625,18,12,5.1676730312500005,237,32
0.9729729999999999,7.583333333333333,21,12,5.296345500000001,273,36
0.9704980000000002,7.45,23,12,5.1704666,298,40
0.9684189999999997,7.25,25,12,5.014888340909091,319,44
0.9656470000000003,7.229166666666667,27,12,5.0306431875,347,48
0.9634690000000002,7.096153846153846,29,12,4.904483288461538,369,52
0.9621819999999995,6.821428571428571,30,12,4.695363232142857,382,56
0.959905,6.75,32,12,4.654931183333334,405,60
0.958222,6.59375,33,12,4.55456303125,422,64
0.9568359999999997,6.411764705882353,34,12,4.410885323529411,436,68
0.9539649999999996,6.458333333333333,36,12,4.430687222222222,465,72
0.9506980000000002,6.552631578947368,39,12,4.5060293157894735,498,76
0.9482230000000005,6.5375,41,12,4.5048739625,523,80
0.9458470000000002,6.511904761904762,43,12,4.508280833333333,547,84
0.9420849999999998,6.6477272727272725,46,12,4.604291272727273,585,88
0.9407980000000001,6.5,47,12,4.483727934782609,598,92
0.9380259999999996,6.520833333333333,49,12,4.496933916666666,626,96
0.935749,6.49,51,12,4.47562081,649,100
0.9334720000000005,6.44,53,12,4.4527784200000005,672,104
0.9321849999999998,6.36,54,12,4.40591683,685,108
0.9293139999999996,6.47,56,12,4.49823021,714,112
0.9273339999999999,6.45,58,12,4.4567216499999995,734,116
0.9255520000000003,6.34,59,12,4.37449483,752,120
0.9222849999999998,6.46,62,12,4.48069,785,124
0.9202060000000004,5.88,63,12,4.0324293,806,128
0.9177309999999996,5.94,65,12,4.07404401,831,132
0.9155529999999996,5.8,67,12,3.9661420599999992,853,136
0.9127810000000002,5.83,69,12,4.0340468199999995,881,140
0.9108010000000004,5.82,71,12,4.03763547,901,144
0.9090189999999997,5.72,72,12,3.9456929999999995,919,148
0.9074350000000003,5.66,74,12,3.9078423699999996,935,152
0.9055540000000001,5.72,75,12,3.9487526699999993,954,156
0.9034749999999996,5.7,77,12,3.929506649999999,975,160
0.8991189999999997,5.97,80,12,4.11862076,1019,164
0.8970400000000004,6.04,82,12,4.1713210300000005,1040,168
0.8951590000000001,5.94,84,12,4.1113604,1059,172
0.8931790000000004,5.81,85,12,4.0088399699999995,1079,176
0.8917930000000001,5.7,86,12,3.91377794,1093,180
0.8899119999999998,5.65,88,12,3.85401436,1112,184
0.8872389999999999,5.54,90,12,3.77183741,1139,188
0.884071,5.73,92,12,3.9319302299999994,1171,192
0.8819919999999996,5.66,94,12,3.8940003399999994,1192,196
0.8799130000000003,5.64,96,12,3.8960473699999993,1213,200
0.8781309999999996,5.59,97,12,3.83221439,1231,204
0.8762500000000004,5.65,99,12,3.8809177199999993,1250,208
0.8747649999999996,5.51,100,12,3.756295759999999,1265,212
0.8722899999999998,5.56,102,12,3.812246219999999,1290,216
0.8710030000000002,5.51,103,12,3.77693382,1303,220
0.8678350000000002,5.5,105,12,3.74204588,1335,224
0.8658550000000005,5.49,107,12,3.73562228,1355,228
0.8646670000000004,5.36,108,12,3.6515769099999993,1367,232
0.8618949999999999,5.42,110,12,3.70241896,1395,236
0.8601130000000002,5.32,112,12,3.575420790000001,1413,240
0.8572420000000002,5.41,114,12,3.6250031800000007,1442,244
0.8537770000000005,5.58,117,12,3.75773126,1477,248
0.8520940000000005,5.59,118,12,3.76901958,1494,252
0.8497180000000003,5.64,120,12,3.8124250699999997,1518,256
0.8469459999999998,5.71,122,12,3.8630010999999995,1546,260
0.8450649999999995,5.46,124,12,3.6741051300000005,1565,264
0.8425899999999997,5.5,126,12,3.7007105500000006,1590,268
0.8407089999999995,5.5,127,12,3.695502759999999,1609,272
0.8395210000000005,5.42,128,12,3.63383296,1621,276
0.8374420000000001,5.49,130,12,3.67082918,1642,280
0.8353629999999996,5.51,131,12,3.68210751,1663,284
0.834076,5.37,132,12,3.57654357,1676,288
0.8324919999999996,5.21,134,12,3.45168784,1692,292
0.82972,5.28,136,12,3.5148848800000008,1720,296
0.8266509999999998,5.38,138,12,3.5869736500000005,1751,300
0.8235820000000005,5.51,141,12,3.6831995799999997,1782,304
0.8209089999999996,5.59,143,12,3.7370496600000003,1809,308
0.8188300000000002,5.65,145,12,3.7870619899999998,1830,312
0.8171470000000002,5.57,146,12,3.721306630000001,1847,316
0.8146720000000004,5.69,148,12,3.8190520400000003,1872,320
0.8124940000000005,5.59,150,12,3.7622161899999997,1894,324
0.81091,5.55,151,12,3.7420156700000002,1910,328
0.8094250000000002,5.58,152,12,3.754534009999999,1925,332
0.8070489999999999,5.54,154,12,3.72392261,1949,336
0.8053659999999999,5.53,155,12,3.7348026400000003,1966,340
0.8036829999999999,5.41,157,12,3.669766819999999,1983,344
0.8024949999999997,5.18,158,12,3.4917098299999996,1995,348
0.7992280000000004,5.34,160,12,3.63427817,2028,352
0.7977430000000005,5.25,162,12,3.5548271999999996,2043,356
0.7947729999999997,5.27,164,12,3.5552105800000002,2073,360
0.7931890000000004,5.24,165,12,3.53190138,2089,364
0.7899219999999998,5.32,168,12,3.6132175599999994,2122,368
