time/iterations,rollout/ep_len_mean,train/n_updates,train/entropy_loss,time/total_timesteps,train/learning_rate,time/time_elapsed,train/value_loss,time/fps,rollout/ep_rew_mean,train/explained_variance,train/policy_loss
100,7.98,99,-1.6093976497650146,8000,0.0007,3821,4.227322578430176,2,5.68587244,-0.038500189781188965,2.364978790283203
200,7.0,199,-1.6087939739227295,16000,0.0007,3913,4.981505393981934,4,4.95342609,-0.08248293399810791,1.3245882987976074
300,10.17,299,-1.5859311819076538,24000,0.0007,4006,6.398626327514648,5,7.24912439,0.0017791390419006348,1.7915271520614624
400,14.37,399,-1.2088758945465088,32000,0.0007,4098,17.850168228149414,7,9.92620847,-0.022483110427856445,-1.648364782333374
500,33.55,499,-0.20760348439216614,40000,0.0007,4190,5.747627258300781,9,23.177274010000005,-4.651681900024414,0.3537451922893524
600,40.17,599,-0.017776908352971077,48000,0.0007,4279,204.61343383789062,11,27.882631730000007,-0.16741037368774414,0.013904338702559471
700,39.1,699,-0.08159737288951874,56000,0.0007,4368,98.51618194580078,12,26.878887550000005,-0.026898860931396484,-0.023596059530973434
800,36.62,799,-0.04079649597406387,64000,0.0007,4456,62.092041015625,14,25.28751678,0.0008306503295898438,0.103567935526371
900,36.75,899,-0.07156643271446228,72000,0.0007,4545,17.165115356445312,15,25.448665220000002,-0.03647148609161377,0.007629972882568836
1000,35.28,999,-0.07056216895580292,80000,0.0007,4634,29.742605209350586,17,24.40421042000001,0.04324311017990112,0.06907009333372116
1100,36.9,1099,-0.009139730595052242,88000,0.0007,4723,1.864572525024414,18,25.594443030000008,0.7445553541183472,0.0012332180049270391
1200,37.24,1199,-0.006473063491284847,96000,0.0007,4812,68.4986801147461,19,25.849772850000004,0.0754098892211914,-0.001403206493705511
