time/iterations,rollout/ep_len_mean,train/n_updates,train/entropy_loss,time/total_timesteps,train/learning_rate,time/time_elapsed,train/value_loss,time/fps,rollout/ep_rew_mean,train/explained_variance,train/policy_loss
100,5.41,99,-1.609381914138794,8000,0.0007,7729,3.887158155441284,1,3.6237835900000004,-0.03343403339385986,2.1670284271240234
200,4.41,199,-1.6083955764770508,16000,0.0007,15524,3.248950958251953,1,2.87868427,-0.09219002723693848,0.33655107021331787
300,5.95,299,-1.5868401527404785,24000,0.0007,17128,4.670091152191162,1,3.9721267700000005,-0.08793282508850098,-0.7043434977531433
400,8.76,399,-1.3736463785171509,32000,0.0007,17215,7.3828020095825195,1,5.810763169999999,0.0015614032745361328,0.08149000257253647
500,15.25,499,-0.7488482594490051,40000,0.0007,17302,21.095224380493164,2,10.22287196,-0.0347214937210083,-0.47212570905685425
600,17.69,599,-0.26781243085861206,48000,0.0007,17389,18.201457977294922,2,11.85837137,0.015008211135864258,-0.09035049378871918
700,17.88,699,-0.29221224784851074,56000,0.0007,17476,8.02696418762207,3,11.92258872,0.015967905521392822,0.42617860436439514
800,18.67,799,-0.2608211040496826,64000,0.0007,17563,18.247468948364258,3,12.516113269999998,0.035464465618133545,-1.6756446361541748
900,18.5,899,-0.14850732684135437,72000,0.0007,17651,44.12029266357422,4,12.411484319999998,-0.01862466335296631,-0.6516345739364624
1000,19.31,999,-0.003868207335472107,80000,0.0007,17739,70.48900604248047,4,12.961312849999999,-0.05165743827819824,-0.0006545138312503695
1100,19.42,1099,-0.005362188909202814,88000,0.0007,17827,7.750267028808594,4,13.002185099999998,-0.019943952560424805,0.0007700943970121443
1200,17.98,1199,-0.22387592494487762,96000,0.0007,17914,7.1757941246032715,5,12.0461265,0.02118504047393799,0.25143903493881226
