time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates,train/loss,train/approx_kl
1,8.08,1341,0,5.71270628,1024,,,,,,,,,,
2,8.21,2685,0,5.777501589999999,2048,0.2587890625,0.09897600000000001,-0.009943743061739951,-1.6055586338043213,0.00024744,10.061256289482117,-0.010990500450134277,4,3.9542293548583984,0.0032446177
3,7.96,4108,0,5.5447498699999995,3072,0.3115234375,0.097952,-0.010880548012210056,-1.598555512726307,0.00024488,9.068689912557602,0.004272341728210449,8,4.674111843109131,0.005292054
4,10.27,5388,0,7.238418340000001,4096,0.12353515625,0.09692800000000001,-0.004374483483843505,-1.5897322967648506,0.00024232000000000002,13.227606058120728,-0.0017102956771850586,12,5.842476844787598,0.004433679
5,10.65,6524,0,7.43605959,5120,0.3662109375,0.095904,-0.003975708794314414,-1.5532326698303223,0.00023976,15.168423533439636,0.020325422286987305,16,7.065388202667236,0.005156781
6,12.35,7532,0,8.623221330000002,6144,0.059814453125,0.09488,5.0626666052266955e-05,-1.5476060435175896,0.0002372,16.63072496652603,-0.0033832788467407227,20,8.311161041259766,0.0017552027
7,11.48,8684,0,7.92631546,7168,0.32763671875,0.093856,-0.0011093235953012481,-1.493621252477169,0.00023464,22.083114981651306,-0.007325291633605957,24,11.270949363708496,0.0023185816
8,12.41,9644,0,8.555513170000001,8192,0.21875,0.09283200000000001,-0.0037257526128087193,-1.4934915006160736,0.00023208000000000001,22.336148500442505,-0.0060083866119384766,28,11.992538452148438,0.0047595925
9,15.22,10524,0,10.52537554,9216,0.13232421875,0.091808,-0.003412818332435563,-1.4227703660726547,0.00022952,29.217562198638916,-0.010961771011352539,32,14.681732177734375,0.0015572509
10,16.91,11292,0,11.611861190000003,10240,0.233642578125,0.090784,-0.0026181207795161754,-1.3732783123850822,0.00022696,26.10934269428253,-0.004283905029296875,36,14.055610656738281,0.0041977093
11,18.85,12060,0,12.923642010000002,11264,0.10546875,0.08976,-0.0018332217005081475,-1.3246025517582893,0.0002244,31.28250813484192,0.010411083698272705,40,16.23246955871582,0.0031704337
12,19.0,12828,0,12.990979500000002,12288,0.371826171875,0.08873600000000001,0.0073165698850061744,-1.2734744474291801,0.00022184,36.87069606781006,-0.040557265281677246,44,17.99279022216797,0.0018319192
13,18.95,13468,0,12.964258210000002,13312,0.182373046875,0.08771200000000001,-0.0009375894442200661,-1.2801263183355331,0.00021928,39.34556174278259,0.0024987459182739258,48,19.946666717529297,0.0028417371
14,21.17,14076,1,14.443084239999997,14336,0.283447265625,0.086688,-0.0007344924961216748,-1.1867619678378105,0.00021672,38.61904263496399,-0.006302237510681152,52,17.205718994140625,0.0037499503
15,22.14,14812,1,15.142308149999998,15360,0.189453125,0.08566400000000002,-0.001374231360387057,-1.2325726374983788,0.00021416000000000002,34.66468846797943,0.01983422040939331,56,17.588472366333008,0.0020061932
16,22.31,15404,1,15.33799912,16384,0.212890625,0.08464,0.0010059908090624958,-1.2497800514101982,0.00021160000000000002,38.715315103530884,-0.032135605812072754,60,19.949542999267578,0.0024258513
17,20.89,16188,1,14.244800029999999,17408,0.2958984375,0.08361600000000001,0.005506120010977611,-1.1735295876860619,0.00020904000000000002,39.961508989334106,-0.007245182991027832,64,19.194717407226562,0.0015409999
18,21.41,16828,1,14.58440438,18432,0.126220703125,0.082592,0.003000567070557736,-1.1924234330654144,0.00020648,49.21769428253174,-0.008058786392211914,68,24.185903549194336,0.0016869417
19,24.79,17420,1,16.944701800000004,19456,0.10693359375,0.081568,-0.0015827847237233073,-1.1197355017066002,0.00020391999999999999,46.12934470176697,0.01078122854232788,72,23.864133834838867,0.0007916834
