time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates,train/loss,train/approx_kl
1,5.07,168,97,3.4302010600000004,16384,,,,,,,,,,
2,6.1,336,97,4.03223699,32768,0.2625579833984375,0.2,-0.026010830757968506,-1.5948321284959093,0.0003,6.2599302001763135,0.0003581047058105469,4,4.403716087341309,0.016453251
3,7.2,504,97,4.8157447399999995,49152,0.2849884033203125,0.2,-0.02747450150855002,-1.5514118521241471,0.0003,8.710654481546953,0.09689563512802124,8,3.1183412075042725,0.017250288
4,9.16,673,97,6.265542450000001,65536,0.2273406982421875,0.2,-0.02201813505530481,-1.4959866721183062,0.0003,12.138897242955863,0.1422557234764099,12,4.809830665588379,0.012405196
5,9.56,840,97,6.380900229999998,81920,0.17388916015625,0.2,-0.01792749343576361,-1.4327758270082995,0.0003,18.348838111851364,0.16551822423934937,16,6.502981185913086,0.01309756
6,11.09,1008,97,7.34366407,98304,0.15032958984375,0.2,-0.013784915143787657,-1.3460077886702493,0.0003,21.668246276210994,0.19565260410308838,20,11.19859504699707,0.013498718
7,13.71,1176,97,9.15933852,114688,0.123199462890625,0.2,-0.012829819694161415,-1.2316658336203545,0.0003,24.480749520473182,0.23819303512573242,24,16.425474166870117,0.01280434
