time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates,train/loss,train/approx_kl
1,5.6,1724,0,3.80640558,1024,,,,,,,,,,
2,5.58,3307,0,3.6865116899999997,2048,0.204833984375,0.09897600000000001,-0.007487650291295722,-1.6063562706112862,0.00024744,3.4778027087450027,-0.05236351490020752,4,1.422034502029419,0.0040823924
3,6.41,4923,0,4.3261158,3072,0.27197265625,0.097952,-0.009564972948282957,-1.5962751656770706,0.00024488,4.647891163825989,0.041715264320373535,8,2.353634834289551,0.0038279234
4,6.32,6426,0,4.271435309999999,4096,0.08935546875,0.09692800000000001,-0.005204747605603188,-1.5928958505392075,0.00024232000000000002,6.86943119764328,-0.020875930786132812,12,3.88533353805542,0.0040957932
5,7.53,7897,0,5.08660815,5120,0.33935546875,0.095904,-0.010215161106316373,-1.5561459362506866,0.00023976,9.33708107471466,-0.007711887359619141,16,4.659144401550293,0.0047915904
6,6.29,9400,0,4.10127393,6144,0.23486328125,0.09488,-0.007572478585643694,-1.5391434356570244,0.0002372,10.014079749584198,-0.01191246509552002,20,4.982392311096191,0.0031149657
7,6.8,10888,0,4.5424245999999995,7168,0.281982421875,0.093856,-0.0037798493285663426,-1.5268584191799164,0.00023464,8.745481491088867,0.01191568374633789,24,4.145921230316162,0.004806013
8,7.95,12295,0,5.280181219999999,8192,0.1572265625,0.09283200000000001,-0.0022162745299283415,-1.518720380961895,0.00023208000000000001,7.230071723461151,0.016609489917755127,28,3.499352216720581,0.005886796
9,8.22,13622,0,5.50815763,9216,0.22216796875,0.091808,-0.0062687470053788275,-1.4332171529531479,0.00022952,9.597851604223251,0.020692646503448486,32,5.724658966064453,0.0020070001
10,9.57,14901,0,6.37973017,10240,0.266845703125,0.090784,-0.0065312710794387385,-1.389222912490368,0.00022696,10.089520573616028,0.030888736248016357,36,4.998581409454346,0.005062499
