rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/learning_rate,time/fps,train/policy_loss,train/entropy_loss,time/time_elapsed,train/explained_variance,rollout/ep_len_mean,train/n_updates,train/value_loss
5.504013049999998,100,8000,0.0007,74,2.5571987628936768,-1.6094207763671875,107,-0.016141295433044434,7.81,99,4.480523109436035
5.56529108,200,16000,0.0007,74,2.4820640087127686,-1.6089967489242554,214,-0.043604493141174316,7.7,199,5.924985408782959
6.033890550000001,300,24000,0.0007,74,0.7199527621269226,-1.5890989303588867,320,0.01793426275253296,8.47,299,8.867074966430664
11.44147272,400,32000,0.0007,74,1.6916149854660034,-1.2553972005844116,427,-0.18651950359344482,16.28,399,16.708120346069336
21.30698735,500,40000,0.0007,75,1.3355451822280884,-0.4139327108860016,533,-25.856613159179688,30.55,499,19.509601593017578
22.516392930000006,600,48000,0.0007,75,0.06777379661798477,-0.043655332177877426,638,-23.42145538330078,32.41,599,20.044208526611328
22.392322310000004,700,56000,0.0007,75,0.09586838632822037,-0.17411088943481445,743,-0.09518980979919434,32.2,699,0.9477223753929138
23.710223300000003,800,64000,0.0007,75,0.02473316341638565,-0.09205871820449829,848,-1.2140872478485107,33.89,799,3.0430142879486084
23.093883980000005,900,72000,0.0007,75,0.24645037949085236,-0.3359749913215637,954,0.8886032104492188,33.3,899,0.4727257788181305
20.54488139,1000,80000,0.0007,75,0.18205870687961578,-0.16945724189281464,1060,0.00619274377822876,29.48,999,36.79523849487305
20.856029980000002,1100,88000,0.0007,75,0.8300957083702087,-0.4746456742286682,1165,-0.025880098342895508,29.81,1099,3.210376024246216
23.653872130000003,1200,96000,0.0007,75,8.405593689531088e-06,-0.001932491548359394,1271,0.9558350443840027,34.16,1199,0.07422713190317154
