time/iterations,rollout/ep_len_mean,train/n_updates,train/entropy_loss,time/total_timesteps,train/learning_rate,time/time_elapsed,train/value_loss,time/fps,rollout/ep_rew_mean,train/explained_variance,train/policy_loss
100,5.97,99,-1.6093829870224,8000,0.0007,7739,3.629267930984497,1,4.041131099999999,-0.01564347743988037,2.1815483570098877
200,5.35,199,-1.60830557346344,16000,0.0007,15527,4.477318286895752,1,3.63034419,-0.04372274875640869,1.4179631471633911
300,6.94,299,-1.5785541534423828,24000,0.0007,23184,5.709841251373291,1,4.72182188,-0.03211569786071777,0.13327264785766602
400,9.75,399,-1.2837170362472534,32000,0.0007,30328,8.705942153930664,1,6.48604453,-0.01597273349761963,0.21434330940246582
500,18.6,499,-0.40154266357421875,40000,0.0007,35633,10.371777534484863,1,12.548977000000002,-0.009259343147277832,0.955592155456543
600,18.13,599,-0.23057091236114502,48000,0.0007,38522,22.021385192871094,1,12.079510610000002,0.008438348770141602,0.31197071075439453
700,19.96,699,-0.17584112286567688,56000,0.0007,38621,16.798131942749023,1,13.456737979999998,0.0073105692863464355,-0.5095147490501404
800,19.88,799,-0.2074538916349411,64000,0.0007,38719,22.397823333740234,1,13.498187989999996,-0.0028957128524780273,0.3932194411754608
900,19.37,899,-0.6045995950698853,72000,0.0007,38817,12.339052200317383,1,13.068204419999999,0.007534205913543701,0.2110631763935089
1000,22.83,999,-0.008929437957704067,80000,0.0007,38915,24.446002960205078,2,15.403968359999999,-0.02428460121154785,0.03663875535130501
1100,20.98,1099,-0.0031831797678023577,88000,0.0007,39013,55.91536331176758,2,14.103183280000001,0.013046443462371826,-0.0006138161988928914
1200,22.1,1199,-0.019879218190908432,96000,0.0007,39111,27.867162704467773,2,14.971708390000002,0.08109724521636963,0.00014872550673317164
