time/iterations,rollout/ep_len_mean,train/n_updates,train/entropy_loss,time/total_timesteps,train/learning_rate,time/time_elapsed,train/value_loss,time/fps,rollout/ep_rew_mean,train/explained_variance,train/policy_loss
100,17.88,99,-0.1580723375082016,4000,0.000797132,48,8.729860305786133,83,12.031064529999998,0.7062020301818848,-0.6092066764831543
200,17.67,199,-0.12189529091119766,8000,0.000763932,95,5.604800224304199,83,11.740600319999999,0.7981188893318176,-0.08924809098243713
300,21.75,299,-0.0638992190361023,12000,0.000730732,142,6.3780927658081055,84,14.782418339999998,0.8800064921379089,-0.005344678647816181
400,17.36,399,-0.03826536983251572,16000,0.0006975320000000001,189,6.62982702255249,84,11.61949863,0.852196455001831,0.31490904092788696
500,19.76,499,-0.08341405540704727,20000,0.000664332,236,12.767343521118164,84,13.321950320000001,0.8321256637573242,1.6187374591827393
600,22.17,599,-0.07375068217515945,24000,0.000631132,283,14.792997360229492,84,15.023929659999999,0.7471520900726318,0.039370786398649216
700,21.93,699,-0.08792714774608612,28000,0.0005979319999999999,331,19.80081558227539,84,14.971005609999997,0.5549379587173462,0.7909029722213745
800,21.04,799,-0.030865544453263283,32000,0.000564732,378,8.973920822143555,84,14.336935689999995,0.7903276085853577,1.2558035850524902
900,22.74,899,-0.3282204270362854,36000,0.000531532,426,25.068655014038086,84,15.77278832,0.06773585081100464,-0.14668837189674377
1000,21.69,999,-0.11716610193252563,40000,0.0004983320000000001,473,40.33968734741211,84,14.829348949999996,0.5529906153678894,-0.01916264370083809
1100,24.13,1099,-0.0601731538772583,44000,0.000465132,520,4.1649980545043945,84,16.72198409,0.9613081812858582,-0.11972196400165558
1200,22.67,1199,-0.034405067563056946,48000,0.000431932,567,20.59583282470703,84,15.725148300000003,0.7758885025978088,0.0280238576233387
1300,25.32,1299,-0.1376122236251831,52000,0.00039873200000000006,614,1.990499496459961,84,17.493352190000003,0.9830781817436218,0.21140757203102112
1400,22.62,1399,-0.034684740006923676,56000,0.000365532,661,5.1748247146606445,84,15.62462734,0.9111273884773254,-0.012672625482082367
1500,24.53,1499,-0.044993288815021515,60000,0.00033233199999999996,708,9.203191757202148,84,16.97307957,0.8738539218902588,-0.08804856240749359
1600,24.74,1599,-0.03261592239141464,64000,0.000299132,755,19.73042869567871,84,17.04891951,0.7820835113525391,-0.003177746431902051
1700,25.1,1699,-0.09169816225767136,68000,0.00026593200000000003,802,15.442395210266113,84,17.366545679999998,0.8437160849571228,0.4384284019470215
1800,22.53,1799,-0.041377704590559006,72000,0.00023273199999999998,849,13.57514762878418,84,15.511366140000002,0.825410008430481,-0.06441846489906311
1900,24.52,1899,-0.0849466472864151,76000,0.00019953199999999996,895,8.238241195678711,84,17.02644007,0.8252926468849182,-1.3148541450500488
2000,25.48,1999,-0.03985155373811722,80000,0.00016633200000000002,942,25.55384635925293,84,17.67122058,0.694061279296875,-0.019543789327144623
2100,24.25,2099,-0.02104530669748783,84000,0.000133132,989,9.389501571655273,84,16.774030389999997,0.9397384524345398,0.07961441576480865
2200,22.95,2199,-0.0549825020134449,88000,9.993199999999996e-05,1036,3.874879837036133,84,15.85269577,0.9313454627990723,0.004928779322654009
2300,25.26,2299,-0.037755437195301056,92000,6.673200000000002e-05,1083,15.723655700683594,84,17.43973164,0.8282743692398071,0.05530267208814621
2400,25.59,2399,-0.11451540887355804,96000,3.353199999999999e-05,1130,12.818943977355957,84,17.65742317,0.8444843292236328,0.43705376982688904
2500,26.84,2499,-0.0030210099648684263,100000,3.3199999999996343e-07,1177,3.3521924018859863,84,18.640836949999997,0.9697868824005127,0.00014568984624929726
