time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates,train/loss,train/approx_kl
1,6.18,1661,0,4.26264142,1024,,,,,,,,,,
2,7.09,3070,0,4.878993059999999,2048,0.219970703125,0.09897600000000001,-0.011258700775215402,-1.6061740890145302,0.00024744,4.779809802770615,-0.027422428131103516,4,2.1285529136657715,0.0025584656
3,6.18,4607,0,4.225558599999999,3072,0.116943359375,0.097952,-0.0040049295203061774,-1.6006667092442513,0.00024488,7.723423004150391,0.0035476088523864746,8,3.553832769393921,0.003201414
4,6.98,6095,0,4.74336428,4096,0.171630859375,0.09692800000000001,-0.004628149443306029,-1.5899040549993515,0.00024232000000000002,8.724905848503113,-0.02352309226989746,12,5.118077278137207,0.004372354
5,6.71,7712,0,4.520676129999999,5120,0.3505859375,0.095904,-0.008712982293218374,-1.5642330721020699,0.00023976,9.540435492992401,0.030856728553771973,16,4.527859210968018,0.007327134
6,7.21,9168,0,4.88521451,6144,0.053466796875,0.09488,0.0010013616411015391,-1.5648294538259506,0.0002372,8.579705208539963,0.030915379524230957,20,3.9515902996063232,0.0015469718
7,7.06,10545,0,4.657236610000001,7168,0.36328125,0.093856,-0.007897874165792018,-1.5052012577652931,0.00023464,9.62930428981781,0.06481438875198364,24,4.652503490447998,0.007398162
8,8.48,11826,0,5.7150930299999985,8192,0.1279296875,0.09283200000000001,0.0011473402846604586,-1.4979340732097626,0.00023208000000000001,11.784675121307373,-0.04500389099121094,28,5.113367557525635,0.0048415316
9,7.41,13250,0,4.91521461,9216,0.308837890625,0.091808,0.0003632247244240716,-1.4284534230828285,0.00022952,11.229529857635498,0.03034144639968872,32,4.8684868812561035,0.0017819793
10,9.32,14419,0,6.3318793499999995,10240,0.17236328125,0.090784,0.0018348377343500033,-1.399125523865223,0.00022696,13.426123678684235,0.019344985485076904,36,5.796656131744385,0.007248035
11,9.06,15651,0,6.151905070000001,11264,0.2705078125,0.08976,0.0028332883666735142,-1.3406409993767738,0.0002244,15.691530466079712,0.08666437864303589,40,6.802229404449463,0.0024714605
12,11.09,16740,0,7.677524950000002,12288,0.183837890625,0.08873600000000001,-0.0026091508916579187,-1.3805861547589302,0.00022184,15.28783905506134,0.09548646211624146,44,7.1946282386779785,0.003141667
13,9.78,17972,0,6.6622888,13312,0.1142578125,0.08771200000000001,-0.003818337485427037,-1.3265817165374756,0.00021928,17.24730110168457,0.14553260803222656,48,8.441726684570312,0.0034407747
14,11.49,18146,0,7.7229154399999995,14336,0.213623046875,0.086688,-0.0019488173711579293,-1.2790979593992233,0.00021672,19.15454936027527,0.06165093183517456,52,8.573860168457031,0.0033548463
15,11.7,18163,0,7.930962420000001,15360,0.133544921875,0.08566400000000002,-0.001133131270762533,-1.2656267657876015,0.00021416000000000002,19.41600275039673,0.0069130659103393555,56,9.688690185546875,0.0047253063
