time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates,train/loss,train/approx_kl
1,5.24,168,97,3.5054066099999996,16384,,,,,,,,,,
2,6.29,336,97,4.21379903,32768,0.2679443359375,0.2,-0.025990296719101025,-1.594837166252546,0.0003,6.539585092337802,0.0032871365547180176,4,4.951794147491455,0.016716577
3,7.75,505,97,5.16325997,49152,0.2733306884765625,0.2,-0.026998512987802314,-1.5529089951887727,0.0003,10.694576737470925,0.08870857954025269,8,4.662930488586426,0.015779018
4,9.21,674,97,6.265366490000002,65536,0.238677978515625,0.2,-0.024204425597872614,-1.4900572040351108,0.0003,15.39681678172201,0.12927383184432983,12,9.897040367126465,0.012696224
5,10.82,841,97,7.25427919,81920,0.1879425048828125,0.2,-0.01953941933652459,-1.4287760873558,0.0003,18.713359143584967,0.16462886333465576,16,8.260714530944824,0.013044819
6,12.13,1009,97,8.154287810000001,98304,0.163543701171875,0.2,-0.01759260250491934,-1.344306220067665,0.0003,27.837851972319186,0.19909298419952393,20,12.514290809631348,0.012844267
7,13.02,1175,97,8.68987261,114688,0.075439453125,0.2,-0.009253937306311855,-1.263472759979777,0.0003,34.99236411973834,0.21553874015808105,24,20.58355140686035,0.008707171
