time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates,train/loss,train/approx_kl
1,6.06,169,96,4.212630700000001,16384,,,,,,,,,,
2,7.22,339,96,4.99536191,32768,0.2697296142578125,0.2,-0.02503194112841811,-1.595257009146735,0.0003,8.818732304032892,0.001993894577026367,4,3.549694776535034,0.015652496
3,8.99,508,96,6.203671590000003,49152,0.2543182373046875,0.2,-0.02368853135340032,-1.5558482279302552,0.0003,13.310353862121701,0.09161132574081421,8,9.2974271774292,0.015294818
4,10.3,677,96,7.120131820000001,65536,0.2097625732421875,0.2,-0.02020204018072036,-1.5006119820754975,0.0003,21.86764058470726,0.11890077590942383,12,9.45692253112793,0.011326712
5,12.67,846,96,8.786106810000001,81920,0.18865966796875,0.2,-0.01979674939366305,-1.424221412744373,0.0003,28.19432825129479,0.15127772092819214,16,17.300186157226562,0.013288716
6,14.72,1014,96,10.157042330000001,98304,0.1453399658203125,0.2,-0.014634142155955487,-1.3388663993682712,0.0003,37.77330054529011,0.19264698028564453,20,14.030899047851562,0.012794476
7,15.43,1183,96,10.60532389,114688,0.096343994140625,0.2,-0.011277693483407347,-1.2438549430808052,0.0003,44.715050254017115,0.2666236162185669,24,25.189105987548828,0.011897291
