time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates,train/loss,train/approx_kl
1,5.04,176,92,3.41169134,16384,,,,,,,,,,
2,6.49,352,92,4.477229959999999,32768,0.26776123046875,0.2,-0.033524076146477455,-1.5948788044042885,0.0003,5.079248335212469,-0.021227478981018066,4,4.499874591827393,0.018712621
3,8.64,527,93,5.947964870000001,49152,0.318328857421875,0.2,-0.04132831271408577,-1.5467667923076078,0.0003,8.329798620659858,0.23413556814193726,8,5.885404109954834,0.019001486
4,11.13,700,93,7.741682539999999,65536,0.2595367431640625,0.2,-0.03287750770277853,-1.4772288700332865,0.0003,14.705971049610525,0.2084386944770813,12,9.02879810333252,0.016599
5,14.38,873,93,10.005155530000001,81920,0.2010955810546875,0.2,-0.025301512428541173,-1.4036467004334554,0.0003,26.14704343955964,0.20871466398239136,16,12.939865112304688,0.013439884
6,18.36,1045,94,12.740892660000002,98304,0.1572418212890625,0.2,-0.020711034479973023,-1.3245485360966995,0.0003,38.96402063407004,0.19257599115371704,20,16.452856063842773,0.01274603
7,22.35,1217,94,15.58708479,114688,0.1142425537109375,0.2,-0.01592484318143761,-1.2439673059852794,0.0003,51.04328224807978,0.20615911483764648,24,24.103485107421875,0.0096344
