time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates,train/loss,train/approx_kl
1,5.61,196,83,3.8559294499999996,16384,,,,,,,,,,
2,6.41,392,83,4.37304411,32768,0.25872802734375,0.2,-0.03326062076712333,-1.5946199947502464,0.0003,5.455086832051165,-0.014975547790527344,4,3.3482794761657715,0.019297322
3,9.56,587,83,6.5513326,49152,0.3045501708984375,0.2,-0.038361484119377565,-1.5482730307849124,0.0003,8.670114183332771,0.2182619571685791,8,4.368844032287598,0.017726924
4,10.5,780,83,7.219381049999999,65536,0.24566650390625,0.2,-0.029832612046902796,-1.483234686194919,0.0003,18.95392701588571,0.20154213905334473,12,10.630637168884277,0.0153089035
5,14.27,973,84,9.948254559999999,81920,0.18743896484375,0.2,-0.024909461880724848,-1.4095747373066843,0.0003,26.38267717882991,0.22971338033676147,16,12.989959716796875,0.013522125
6,21.57,1165,84,15.097364800000003,98304,0.153564453125,0.2,-0.020014641569787273,-1.3211628930876032,0.0003,42.61901601776481,0.2218252420425415,20,22.026660919189453,0.013147935
7,21.15,1356,84,14.730050669999999,114688,0.128692626953125,0.2,-0.016572327751418925,-1.2463688855059445,0.0003,56.82346366532147,0.2101556658744812,24,32.84461212158203,0.012455643
