time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates,train/loss,train/approx_kl
1,5.6,1725,0,3.7985809,1024,,,,,,,,,,
2,5.75,3390,0,3.8411428499999993,2048,0.231201171875,0.09897600000000001,-0.010827866703039035,-1.60581174492836,0.00024744,4.565445765852928,-0.03033733367919922,4,2.3128223419189453,0.0037519007
3,6.33,4959,0,4.235177609999999,3072,0.10498046875,0.097952,-0.005430635472293943,-1.5993748754262924,0.00024488,4.9239766001701355,0.03253740072250366,8,2.49969482421875,0.004571943
4,7.05,6464,0,4.826229619999999,4096,0.277099609375,0.09692800000000001,-0.00928577285958454,-1.5751919224858284,0.00024232000000000002,5.587030649185181,0.022755801677703857,12,2.956657648086548,0.0046537863
5,7.02,7970,0,4.69958036,5120,0.07177734375,0.095904,-0.006674043310340494,-1.5643903464078903,0.00023976,7.391773998737335,-0.002183675765991211,16,3.4359471797943115,0.0033746061
6,7.67,9378,0,5.13765576,6144,0.208740234375,0.09488,-0.004410800087498501,-1.520654782652855,0.0002372,6.780523657798767,-0.019968152046203613,20,3.338003635406494,0.0056382786
7,8.46,10804,0,5.58705767,7168,0.332275390625,0.093856,-0.005536332231713459,-1.4582961350679398,0.00023464,9.059364944696426,0.031574547290802,24,4.153443336486816,0.012580959
8,7.93,12228,0,5.1964934199999995,8192,0.18896484375,0.09283200000000001,-0.002898344275308773,-1.365500070154667,0.00023208000000000001,11.695109069347382,0.01607435941696167,28,4.933257102966309,0.0037317532
9,8.35,13653,0,5.600260939999999,9216,0.18212890625,0.091808,-0.004507586039835587,-1.3616261780261993,0.00022952,10.10849416255951,-0.005514025688171387,32,5.293635845184326,0.002414221
10,9.39,14854,0,6.209309039999998,10240,0.25537109375,0.090784,-0.003041664487682283,-1.3446921557188034,0.00022696,11.827900767326355,0.01582968235015869,36,5.713559627532959,0.005866089
11,9.77,16086,0,6.50433524,11264,0.129150390625,0.08976,-0.0035640305723063648,-1.2947390228509903,0.0002244,14.198718845844269,0.016436338424682617,40,6.441690444946289,0.0025926926
12,10.47,17271,0,7.03507747,12288,0.241455078125,0.08873600000000001,-0.004985202991520055,-1.253960482776165,0.00022184,14.917231380939484,0.02183365821838379,44,7.394308090209961,0.0024665254
13,9.31,18584,0,6.154695320000001,13312,0.1962890625,0.08771200000000001,-0.00293177756248042,-1.2224121987819672,0.00021928,16.979135990142822,0.05146205425262451,48,9.076229095458984,0.0034276345
14,10.27,19736,0,6.736872969999999,14336,0.28369140625,0.086688,0.0036880096886307,-1.158976748585701,0.00021672,20.186225056648254,0.015593469142913818,52,9.863757133483887,0.0050521847
15,11.8,20873,0,7.873864389999999,15360,0.07470703125,0.08566400000000002,-0.0016945377356023528,-1.1675769686698914,0.00021416000000000002,14.904771983623505,0.03182864189147949,56,7.563719749450684,0.0025633525
16,12.52,21929,0,8.39656874,16384,0.1796875,0.08464,0.0007870250847190619,-1.0912442728877068,0.00021160000000000002,19.111024022102356,0.0462644100189209,60,8.400604248046875,0.0042197234
17,13.08,22860,0,8.72010366,17408,0.353271484375,0.08361600000000001,-5.0167785957455635e-05,-0.9953773058950901,0.00020904000000000002,20.406771659851074,0.055378735065460205,64,10.378662109375,0.0043367846
18,13.68,23804,0,9.18619838,18432,0.090576171875,0.082592,0.0008349611598532647,-0.9693535417318344,0.00020648,20.861327648162842,0.03149449825286865,68,11.35456371307373,0.0034907456
19,13.04,24701,0,8.596578189999999,19456,0.20556640625,0.081568,0.001722274231724441,-0.9114877991378307,0.00020391999999999999,23.309159517288208,0.04649299383163452,72,11.66824722290039,0.006119244
