time/iterations,rollout/ep_len_mean,train/n_updates,train/entropy_loss,time/total_timesteps,train/learning_rate,time/time_elapsed,train/value_loss,time/fps,rollout/ep_rew_mean,train/explained_variance,train/policy_loss
100,20.52,99,-0.17210707068443298,4000,0.000797132,51,22.79790496826172,77,13.89902504,0.0023189783096313477,-0.5127133727073669
200,20.12,199,-0.13800008594989777,8000,0.000763932,102,4.337247371673584,78,13.633038569999998,0.03070586919784546,0.044181957840919495
300,21.62,299,-0.2340122014284134,12000,0.000730732,153,16.42147445678711,78,14.68390829,-0.013476252555847168,0.20619483292102814
400,19.94,399,-0.1085646003484726,16000,0.0006975320000000001,204,11.336910247802734,78,13.44032514,0.09572923183441162,0.07432686537504196
500,20.52,499,-0.05281549692153931,20000,0.000664332,256,40.29895782470703,78,13.881204899999998,0.022904396057128906,-1.772467851638794
600,21.33,599,-0.05891676992177963,24000,0.000631132,307,15.548986434936523,78,14.35348822,-0.009146451950073242,0.11102938652038574
700,20.28,699,-0.0419442281126976,28000,0.0005979319999999999,358,40.69550704956055,78,13.664328029999997,0.05868881940841675,-0.012237997725605965
800,20.1,799,-0.048327937722206116,32000,0.000564732,408,5.805647850036621,78,13.533960160000001,0.1928653120994568,0.7237355709075928
900,20.78,899,-0.023564975708723068,36000,0.000531532,459,46.24147415161133,78,14.062379,-0.008534073829650879,-0.0068159932270646095
1000,19.98,999,-0.021562334150075912,40000,0.0004983320000000001,510,46.62578201293945,78,13.415489099999997,-0.05740952491760254,-0.005065533798187971
1100,21.21,1099,-0.023280465975403786,44000,0.000465132,561,14.671689987182617,78,14.295942139999998,0.06392174959182739,0.0020409603603184223
1200,19.71,1199,-0.032589130103588104,48000,0.000431932,612,17.543018341064453,78,13.294095329999998,0.2981353998184204,0.0058896224945783615
1300,22.9,1299,-0.08263106644153595,52000,0.00039873200000000006,663,8.61713981628418,78,15.479071420000002,-0.3519247770309448,0.03582454100251198
1400,19.21,1399,-0.09798280894756317,56000,0.000365532,715,51.533119201660156,78,12.869902879999998,0.2611303925514221,-0.07758836448192596
1500,22.6,1499,-0.07801541686058044,60000,0.00033233199999999996,766,6.576185703277588,78,15.366160479999998,0.3325834274291992,0.05487503483891487
1600,20.89,1599,-0.05489668995141983,64000,0.000299132,817,34.256919860839844,78,14.04598133,0.18798518180847168,-0.018930090591311455
1700,21.53,1699,-0.09308319538831711,68000,0.00026593200000000003,868,23.304973602294922,78,14.515704659999997,0.07671850919723511,0.0046453578397631645
1800,19.22,1799,-0.09808127582073212,72000,0.00023273199999999998,919,21.51158332824707,78,12.980650319999997,0.4235823154449463,-1.4985029697418213
1900,21.11,1899,-0.10747420787811279,76000,0.00019953199999999996,970,14.375328063964844,78,14.23865721,0.44972556829452515,0.12891915440559387
2000,21.4,1999,-0.11514785140752792,80000,0.00016633200000000002,1021,5.127345085144043,78,14.416630039999998,0.5484825372695923,-0.06187288835644722
2100,19.35,2099,-0.10345618426799774,84000,0.000133132,1072,11.504501342773438,78,12.944792009999999,0.43302589654922485,0.016955461353063583
2200,23.94,2199,-0.10636510699987411,88000,9.993199999999996e-05,1124,20.984603881835938,78,16.275739429999998,-0.054091691970825195,0.7449986934661865
2300,21.65,2299,-0.09573878347873688,92000,6.673200000000002e-05,1175,21.33955192565918,78,14.680617810000001,-0.008080244064331055,0.028386756777763367
2400,21.3,2399,-0.09948980808258057,96000,3.353199999999999e-05,1225,25.78542709350586,78,14.3959377,0.3144497275352478,-0.004201481584459543
2500,21.69,2499,-0.10106483846902847,100000,3.3199999999996343e-07,1276,16.829681396484375,78,14.8632745,0.3786185383796692,-0.09854155778884888
