time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates,train/loss,train/approx_kl
1,6.5,1596,0,4.517816209999999,1024,,,,,,,,,,
2,6.26,3179,0,4.237506110000001,2048,0.161865234375,0.09897600000000001,-0.008042220666538924,-1.6068347990512848,0.00024744,5.639322429895401,-0.022533774375915527,4,2.2090179920196533,0.0020937896
3,6.79,4682,0,4.62559223,3072,0.107421875,0.097952,-0.004175054767983966,-1.6048389226198196,0.00024488,6.0149111449718475,0.030391573905944824,8,3.297886371612549,0.0048311735
4,7.93,6057,0,5.42614925,4096,0.11083984375,0.09692800000000001,-0.004103209794266149,-1.5860754251480103,0.00024232000000000002,7.634741455316544,0.01355654001235962,12,4.280542850494385,0.0021357513
5,7.03,7480,0,4.71606885,5120,0.25830078125,0.095904,-0.006133780465461314,-1.5597314909100533,0.00023976,11.65098774433136,0.017209410667419434,16,5.448697090148926,0.005757323
6,8.04,8823,0,5.458593130000001,6144,0.13525390625,0.09488,-0.0020553522335831076,-1.5442343279719353,0.0002372,9.774318277835846,0.04049593210220337,20,5.335433006286621,0.003971866
7,9.1,10006,0,6.2050888199999985,7168,0.274169921875,0.093856,-0.008684143991558813,-1.5068544819951057,0.00023464,11.016566276550293,0.019987106323242188,24,5.707154273986816,0.0045485464
8,9.03,11077,0,6.165676990000001,8192,0.208984375,0.09283200000000001,-0.002430138731142506,-1.4769010841846466,0.00023208000000000001,15.25754714012146,0.06035858392715454,28,7.772635459899902,0.0008773625
9,11.49,12180,0,8.056786299999999,9216,0.239501953125,0.091808,-0.005330195359420031,-1.4210451543331146,0.00022952,20.35684096813202,0.0562208890914917,32,10.368760108947754,0.0053860135
10,9.89,13363,0,6.6907401700000015,10240,0.105224609375,0.090784,-0.0007930417195893824,-1.418769471347332,0.00022696,19.95672070980072,0.017487406730651855,36,9.978157997131348,0.004725607
11,10.1,14450,0,6.840373830000001,11264,0.19482421875,0.08976,0.002697826741496101,-1.3528262004256248,0.0002244,22.0633647441864,-0.011904358863830566,40,10.168338775634766,0.008489735
12,12.39,15441,0,8.48132348,12288,0.159912109375,0.08873600000000001,0.0008964474691310897,-1.310088001191616,0.00022184,17.58220201730728,0.018579304218292236,44,9.11688232421875,0.0006053179
