rollout/exploration_rate,time/fps,train/n_updates,time/episodes,rollout/ep_len_mean,train/learning_rate,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/loss
0.9982750000000004,11,20,4,5.75,0.00063,2,23,3.9863435000000003,0.061722672544419765
0.9948250000000002,11,68,8,8.625,0.00063,5,69,6.0521405,0.023182279895991087
0.9915250000000002,11,112,12,9.416666666666666,0.00063,9,113,6.795990833333334,0.019391892477869987
0.9890499999999999,11,144,16,9.125,0.00063,12,146,6.5216438125,0.019138257717713714
0.9853000000000003,11,192,20,9.8,0.00063,16,196,6.99736495,0.017286496469751
0.9827500000000002,11,228,24,9.583333333333334,0.00063,19,230,6.810051333333334,0.016415821388363838
0.9817749999999996,11,240,28,8.678571428571429,0.00063,21,243,6.110946357142859,0.013636914314702153
0.9806499999999998,11,256,32,8.0625,0.00063,22,258,5.61064775,0.1608271636068821
0.9782499999999998,11,288,36,8.055555555555555,0.00063,25,290,5.614899250000001,0.09803641214966774
0.9765250000000002,11,312,40,7.825,0.00063,27,313,5.421749150000001,0.08142126724123955
0.9745000000000003,11,336,44,7.7272727272727275,0.00063,29,340,5.374544954545455,0.06777238100767136
0.9706750000000002,11,388,48,8.145833333333334,0.00063,33,391,5.726437020833333,0.07969782035797834
0.9690250000000002,11,412,52,7.9423076923076925,0.00063,35,413,5.584060711538461,0.06899117864668369
0.96505,11,464,56,8.321428571428571,0.00063,40,466,5.9074970178571435,0.08466703444719315
0.9639999999999997,11,476,60,8.0,0.00063,41,480,5.6802393,0.09315125271677971
0.9604000000000004,11,524,64,8.25,0.00063,45,528,5.87031740625,0.16339723765850067
0.9586749999999998,11,548,68,8.102941176470589,0.00063,47,551,5.771496279411765,0.152752086520195
0.9530499999999997,11,624,72,8.694444444444445,0.00063,54,626,6.224412333333333,0.1453736051917076
0.9502749999999998,11,660,76,8.723684210526315,0.00063,57,663,6.269522065789474,0.11638490669429302
0.9486249999999998,11,684,80,8.5625,0.00063,59,685,6.1378773375,0.14294404909014702
0.9462999999999996,11,712,84,8.523809523809524,0.00063,62,716,6.127024345238095,0.13049493357539177
0.9436749999999998,11,748,88,8.534090909090908,0.00063,65,751,6.130378079545454,0.14424584433436394
0.9419500000000003,11,772,92,8.41304347826087,0.00063,67,774,6.024538641304348,0.3127843216061592
0.9407499999999999,11,788,96,8.229166666666666,0.00063,68,790,5.875928177083334,0.23453617095947266
0.9387249999999999,11,816,100,8.17,0.00063,70,817,5.83165837,0.25562793016433716
0.9343,11,872,104,8.53,0.00063,76,876,6.0853983,0.2466609999537468
0.9317500000000001,11,908,108,8.41,0.00063,79,910,6.027516119999999,0.2262105457484722
0.92845,11,952,112,8.41,0.00063,82,954,6.07145043,0.18172133713960648
0.9267250000000004,11,976,116,8.31,0.00063,84,977,6.00180642,0.27893920987844467
0.9257499999999999,11,988,120,7.94,0.00063,85,990,5.71781025,0.24528484791517258
0.9233499999999999,11,1020,124,7.92,0.00063,88,1022,5.74543677,0.3212856948375702
0.9197499999999996,11,1068,128,8.27,0.00063,92,1070,6.028080570000001,0.3667455390095711
0.9184749999999997,11,1084,132,8.29,0.00063,94,1087,6.046109359999999,0.33315593749284744
0.9169000000000002,11,1104,136,8.18,0.00063,96,1108,5.97572428,0.3055330067873001
0.9129999999999996,11,1156,140,8.47,0.00063,100,1160,6.232813080000002,0.3938141092658043
0.9104500000000004,11,1192,144,8.54,0.00063,103,1194,6.3019682,0.3178471624851227
0.9076,11,1228,148,8.41,0.00063,106,1232,6.187190709999999,0.32961514592170715
0.9052749999999997,11,1260,152,8.5,0.00063,109,1263,6.24666416,0.39101437479257584
0.9024250000000003,11,1300,156,8.35,0.00063,112,1301,6.11542554,0.4225382059812546
0.9004000000000003,11,1324,160,8.48,0.00063,115,1328,6.231830349999999,0.48799315094947815
0.8988999999999996,11,1344,164,8.2,0.00063,117,1348,6.01069063,0.4164726883172989
0.8946249999999999,11,1404,168,8.54,0.00063,121,1405,6.254409379999999,0.365837924182415
0.89185,11,1440,172,8.16,0.00063,125,1442,5.9529384400000005,0.433891199529171
0.890575,11,1456,176,7.96,0.00063,126,1459,5.7877423499999985,0.45411910116672516
0.8875750000000004,11,1496,180,8.14,0.00063,130,1499,5.9231539999999985,0.46707582473754883
0.8856250000000001,11,1524,184,8.09,0.00063,132,1525,5.8601294799999994,0.6111104637384415
0.8814250000000001,11,1580,188,8.3,0.00063,137,1581,6.03987341,0.6143135726451874
0.8790250000000002,11,1612,192,8.39,0.00063,140,1613,6.126930389999999,0.6636971682310104
0.8762500000000003,11,1648,196,8.6,0.00063,143,1650,6.273865949999999,0.5221682339906693
0.8739250000000001,11,1680,200,8.64,0.00063,145,1681,6.323474130000001,0.46709440648555756
0.8718249999999996,11,1708,204,8.33,0.00063,148,1709,6.098711600000001,0.4622406139969826
0.8697250000000001,11,1736,208,8.27,0.00063,150,1737,6.0389577999999995,0.54525575786829
0.8673250000000001,11,1768,212,8.15,0.00063,153,1769,5.869836319999999,0.6733229458332062
0.8655999999999997,11,1788,216,8.15,0.00063,155,1792,5.85883002,0.5465057790279388
