time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates,train/loss,train/approx_kl
1,8.06,176,92,5.936178890000001,16384,,,,,,,,,,
2,10.08,352,93,7.17433836,32768,0.2347259521484375,0.2,-0.030378745751932,-1.5962429289938882,0.0003,10.613644999451935,-0.009729385375976562,4,5.1928791999816895,0.016184025
3,13.36,526,93,9.59740319,49152,0.25128173828125,0.2,-0.03251042868350851,-1.553905519307591,0.0003,21.47500612400472,0.181421160697937,8,10.873917579650879,0.015956473
4,19.41,699,93,13.832332139999998,65536,0.185302734375,0.2,-0.024791307464511192,-1.4918612866895273,0.0003,40.50263914093375,0.1731967329978943,12,28.691469192504883,0.012807285
5,24.6,872,93,17.353210689999997,81920,0.142669677734375,0.2,-0.019001857053353888,-1.4257789462571964,0.0003,63.517152816057205,0.17256319522857666,16,30.882932662963867,0.012135869
6,31.64,1044,94,22.552645669999997,98304,0.096893310546875,0.2,-0.014881931861964404,-1.3535761339589953,0.0003,83.73188304156065,0.19948720932006836,20,30.338640213012695,0.009781256
7,34.99,1217,94,24.711842030000003,114688,0.09033203125,0.2,-0.01208183363110038,-1.283924896386452,0.0003,102.45271847397089,0.20358812808990479,24,56.4139404296875,0.0089267
